City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,kunshan,31.3776,120.9543,32.66,59,65,2.15,CN,1724825525
119,mogocha,53.7333,119.7667,22.15,33,1,5.06,RU,1724825526
120,chonchi,-42.6128,-73.8092,3.4,90,35,0.68,CL,1724825527
121,harstad,68.799,16.5293,10.09,90,100,5.36,NO,1724825529
122,ulaangom,49.9811,92.0667,24.43,23,29,3.44,MN,1724825530
123,glace bay,46.1969,-59.957,17.31,94,0,7.72,CA,1724825531
124,srikakulam,18.3,83.9,31.32,62,98,3.61,IN,1724825532
125,markovo,57.3206,107.0881,16.39,78,98,3.47,RU,1724825533
126,vila velha,-20.3297,-40.2925,19.41,80,75,1.54,BR,1724825534
127,sola,-13.8833,167.55,25.18,66,100,11.53,VU,1724825535
128,keflavik,64.0049,-22.5624,8.24,87,0,5.14,IS,1724825538
129,alaghsas,17.0187,8.0168,27.57,56,99,2.01,NE,1724825539
130,peace river,56.2501,-117.286,14.25,90,100,3.6,CA,1724825540
131,college,64.8569,-147.8028,14.56,78,75,0.0,US,1724825406
132,thompson,55.7435,-97.8558,12.09,66,20,1.54,CA,1724825542
133,grytviken,-54.2811,-36.5092,3.62,90,100,3.25,GS,1724825544
134,whitehorse,60.7161,-135.0538,10.43,65,75,7.72,CA,1724825545
135,taperoa,-7.2075,-36.8267,18.51,92,38,6.93,BR,1724825546
136,alofi,-19.0595,-169.9187,21.94,78,40,3.6,NU,1724825548
137,bubaque,11.2833,-15.8333,26.89,88,100,7.73,GW,1724825550
138,lazaro cardenas,17.9583,-102.2,26.87,86,99,1.53,MX,1724825551
139,sos'va,59.1766,61.8558,23.33,61,76,2.94,RU,1724825552
140,yellowknife,62.456,-114.3525,15.23,98,100,5.14,CA,1724825550
141,zaragoza,41.6561,-0.8773,24.45,69,75,3.09,ES,1724825386
142,broome,42.2506,-75.833,22.06,95,75,1.65,US,1724825556
143,ribeira grande,38.5167,-28.7,20.99,82,83,1.79,PT,1724825557
144,isoka,-10.1606,32.6335,21.48,55,80,1.35,ZM,1724825558
145,utrik,11.2278,169.8474,28.92,75,67,4.8,MH,1724825560
146,sinabang,2.4803,96.3801,29.69,59,100,1.83,ID,1724825561
147,leh,34.1667,77.5833,15.66,45,32,3.27,IN,1724825563
148,tam ky,15.5667,108.4833,34.74,44,100,5.57,VN,1724825565
149,palapye,-22.546,27.1251,21.83,17,0,1.85,BW,1724825566
150,turtas,58.9417,69.1325,20.72,61,51,3.35,RU,1724825567
151,gubkinskiy,64.434,76.5026,20.69,53,25,3.51,RU,1724825568
152,urucara,-2.5364,-57.76,24.02,62,66,1.86,BR,1724825569
153,ginir,7.1333,40.7,19.31,60,74,6.57,ET,1724825571
154,milagros,12.2181,123.5095,28.25,76,93,7.43,PH,1724825572
155,atherton,53.5237,-2.4935,15.12,95,61,2.5,GB,1724825573
156,klyuchi,52.2667,79.1667,20.43,45,74,3.37,RU,1724825574
157,bredasdorp,-34.5322,20.0403,6.62,70,94,7.19,ZA,1724825576
158,saipan,15.1355,145.701,32.39,70,75,5.66,MP,1724825411
159,talnakh,69.4865,88.3972,14.38,90,100,1.51,RU,1724825578
160,i-n-salah,27.1935,2.4607,32.94,19,8,4.15,DZ,1724825477
161,timimoun,29.2639,0.231,31.21,20,20,4.12,DZ,1724825580
162,gaspe,48.8334,-64.4819,23.12,73,100,2.06,CA,1724825581
163,vikhorevka,56.1201,101.1636,17.4,63,47,5.74,RU,1724825583
164,arraial do cabo,-22.9661,-42.0278,18.3,69,2,3.06,BR,1724825584
165,longyearbyen,78.2186,15.6401,5.91,65,20,6.69,SJ,1724825585
166,san julian,21.0167,-102.1667,15.29,73,44,1.92,MX,1724825586
167,villa huidobro,-34.8383,-64.5869,11.13,52,72,6.2,AR,1724825588
168,isafjordur,66.0755,-23.124,4.04,89,81,1.92,IS,1724825589
169,kailua-kona,19.6406,-155.9956,25.71,90,83,3.07,US,1724825590
170,poronaysk,49.2167,143.1167,19.18,86,9,3.66,RU,1724825591
171,obiaruku,5.8467,6.1526,23.11,98,88,1.26,NG,1724825592
172,usol'ye,59.4268,56.6808,19.37,91,60,3.24,RU,1724825594
173,nemuro,43.3236,145.575,17.92,100,100,1.49,JP,1724825391
174,mount isa,-20.7333,139.5,33.87,20,20,3.6,AU,1724825596
175,vernon,50.2581,-119.2691,10.25,86,89,0.45,CA,1724825418
176,georgetown,5.4112,100.3354,30.96,70,20,2.06,MY,1724825556
177,mhangura,-16.8939,30.1683,21.91,28,2,1.33,ZW,1724825600
178,haiku-pauwela,20.9219,-156.3051,24.59,70,40,5.66,US,1724825601
179,debesy,57.6529,53.8049,23.29,62,16,3.75,RU,1724825602
180,jayapura,-2.5333,140.7,32.66,76,52,4.05,ID,1724825354
181,gudibanda,13.6694,77.6983,26.56,59,100,7.99,IN,1724825605
182,abepura,-2.6333,140.5833,32.45,62,20,6.69,ID,1724825606
183,mareeba,-17.0,145.4333,26.56,54,3,4.35,AU,1724825607
184,turriff,57.5384,-2.4593,15.99,95,34,4.82,GB,1724825609
185,pisco,-13.7,-76.2167,16.03,88,100,1.54,PE,1724825610
186,afaahiti,-17.75,-149.2833,22.44,80,91,5.67,PF,1724825611
187,guatrache,-37.6678,-63.5302,7.64,74,71,5.21,AR,1724825612
188,shendi,16.6915,33.4341,28.46,64,98,4.77,SD,1724825413
189,margate,51.3813,1.3862,17.05,89,55,3.29,GB,1724825424
190,tutong,4.8,114.65,29.67,68,97,2.39,BN,1724825616
191,wenchang,30.904,118.4887,29.31,67,80,2.61,CN,1724825617
192,bereznik,62.8551,42.7072,16.25,70,76,3.48,RU,1724825618
193,sao miguel do araguaia,-13.275,-50.1628,27.31,29,54,2.02,BR,1724825620
194,slyudyanka,51.6594,103.7061,19.87,74,22,1.29,RU,1724825621
195,shubarshi,48.5872,57.1869,22.96,33,0,5.51,KZ,1724825622
196,vadso,70.0744,29.7487,12.09,76,55,9.77,NO,1724825623
197,kemijarvi,66.7131,27.4306,10.57,68,80,3.8,FI,1724825625
198,avarua,-21.2078,-159.775,25.03,94,75,5.66,CK,1724825626
199,woolgoolga,-30.1106,153.2007,31.93,46,11,3.76,AU,1724825627
200,sisimiut,66.9395,-53.6735,6.99,83,100,0.8,GL,1724825628
201,egersund,58.4513,5.9997,15.89,89,100,5.57,NO,1724825630
202,suceava,47.6333,26.25,21.4,73,0,5.66,RO,1724825571
203,qamdo,31.1667,97.2333,20.95,32,34,2.1,CN,1724825632
204,raduzhny,62.0961,77.475,20.04,63,98,3.9,RU,1724825633
205,amos,48.5669,-78.1162,5.34,96,70,3.55,CA,1724825634
206,gimbi,9.1667,35.8333,15.95,91,99,0.62,ET,1724825636
207,arua,3.0201,30.9111,19.18,90,93,1.78,UG,1724825637
208,oulad teima,30.3947,-9.209,17.6,93,3,2.57,MA,1724825638
209,souillac,-20.5167,57.5167,22.21,64,40,6.69,MU,1724825639
210,taoudenni,22.6783,-3.9836,35.26,16,71,0.81,ML,1724825641
211,mutoko,-17.397,32.2268,20.89,34,0,0.63,ZW,1724825642
212,tajerouine,35.8917,8.5528,23.68,54,48,0.73,TN,1724825643
213,guerrero negro,27.9769,-114.0611,20.74,81,6,5.41,MX,1724825644
214,serdar,38.9764,56.2757,31.91,14,0,5.38,TM,1724825645
215,zharkent,44.1628,80.0,31.29,25,52,1.45,KZ,1724825647
216,zhangye,38.9342,100.4517,31.91,27,5,2.76,CN,1724825648
217,tazovsky,67.4667,78.7,13.97,78,78,2.67,RU,1724825649
218,turaif,31.6725,38.6637,26.14,36,0,3.09,SA,1724825650
219,margaret river,-33.95,115.0667,17.13,65,88,8.48,AU,1724825652
220,aykhal,66.0,111.5,12.4,52,93,4.48,RU,1724825653
221,kotlas,61.2611,46.6556,18.32,57,84,3.71,RU,1724825654
222,korinthos,37.9407,22.9573,28.83,42,0,2.19,GR,1724825655
223,columbus,39.9612,-82.9988,25.32,78,0,2.59,US,1724825427
224,marka,1.7159,44.7717,27.11,75,45,6.04,SO,1724825657
225,forio,40.7342,13.8646,26.35,72,19,0.89,IT,1724825659
226,skeldon,5.8833,-57.1333,23.84,94,75,1.34,GY,1724825660
227,aykol,38.1751,77.2132,28.08,35,68,2.5,CN,1724825661
228,ancud,-41.8697,-73.8203,4.14,87,49,2.23,CL,1724825662
229,nguruka,-5.1092,31.0419,22.9,60,63,1.49,TZ,1724825664
230,bullsbrook,-31.6667,116.0,22.75,56,40,6.69,AU,1724825665
231,polyarnyy,69.1989,33.4478,12.49,69,35,12.16,RU,1724825666
232,san patricio,28.017,-97.5169,27.97,69,6,3.41,US,1724825667
233,fort st. john,56.2499,-120.8529,8.94,93,75,4.63,CA,1724825668
